constructorStandingsId;points;position;positionText;wins;constructorId;raceId
7717;0.0;19;19;0;47;325
7718;0.0;18;18;0;42;325
7735;0.0;17;17;0;39;326
7736;0.0;19;19;0;47;326
7737;0.0;18;18;0;42;326
7755;0.0;19;19;0;47;327
7756;0.0;18;18;0;42;327
7774;0.0;19;19;0;47;328
7775;0.0;18;18;0;42;328
7793;0.0;19;19;0;47;329
7794;0.0;18;18;0;42;329
7812;0.0;19;19;0;47;330
7813;0.0;18;18;0;42;330
7831;0.0;19;19;0;47;331
7832;0.0;18;18;0;42;331
7850;0.0;19;19;0;47;332
7851;0.0;18;18;0;42;332
7869;0.0;19;19;0;47;333
7870;0.0;18;18;0;42;333
7888;0.0;19;19;0;47;334
7889;0.0;18;18;0;42;334
7907;0.0;19;19;0;47;335
7908;0.0;18;18;0;42;335
7926;0.0;19;19;0;47;336
7927;0.0;18;18;0;42;336
8237;0.0;8;8;0;18;305
8236;0.0;7;7;0;39;305
8235;0.0;6;6;0;40;305
8234;1.0;5;5;0;33;305
8233;5.0;3;3;0;25;305
8232;4.0;4;4;0;22;305
8231;6.0;2;2;0;6;305
8230;10.0;1;1;1;1;305
8251;5.0;5;5;0;25;306
8250;6.0;4;4;0;22;306
8249;10.0;2;2;0;6;306
8248;24.0;1;1;2;1;306
8269;5.0;5;5;0;25;307
8268;6.0;4;4;0;22;307
8267;10.0;2;2;0;6;307
8266;40.0;1;1;3;1;307
8287;9.0;4;4;0;22;308
8286;16.0;2;2;0;6;308
8285;50.0;1;1;4;1;308
8306;19.0;2;2;1;22;309
8305;16.0;4;4;0;6;309
8304;50.0;1;1;4;1;309
8325;21.0;3;3;1;22;310
8323;54.0;1;1;4;1;310
8324;16.0;4;4;0;6;310
8344;21.0;4;4;1;22;311
8342;58.0;1;1;4;1;311
8343;25.0;3;3;0;6;311
8363;23.0;4;4;1;22;312
8361;67.0;1;1;4;1;312
8362;29.0;3;3;0;6;312
8382;23.0;4;4;1;22;313
8380;70.0;2;2;4;1;313
8381;33.0;3;3;0;6;313
8401;23.0;4;4;1;22;314
8399;83.0;1;1;5;1;314
8400;35.0;3;3;0;6;314
8419;35.0;3;3;0;6;315
8418;99.0;1;1;6;1;315
8438;39.0;3;3;0;6;316
8437;108.0;1;1;6;1;316
8456;114.0;1;1;6;1;317
8475;116.0;2;2;6;1;318
8494;132.0;1;1;7;1;319
8513;139.0;1;1;8;1;320
8436;1.0;12;12;0;26;315
8455;1.0;12;12;0;26;316
8570;19.5;2;2;1;9;3
8567;4.0;7;7;0;5;3
8568;0.0;10;10;0;10;3
8571;0.0;9;9;0;6;3
8569;4.0;5;5;0;2;3
